epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0059,1.4354,4.61215,1.68588,0,0,0,0,1.2905,4.22551,1.63231,7.12696e-05,7.12696e-05,7.12696e-05
2,51.1544,1.28364,4.2921,1.58183,0.48674,0.04702,0.03486,0.01996,1.4212,3.74445,1.81587,0.00014076,0.00014076,0.00014076
3,74.8995,1.32783,3.94697,1.6397,0.54039,0.10019,0.06393,0.03761,1.45963,3.47201,1.8116,0.000207385,0.000207385,0.000207385
4,98.4062,1.33426,3.63967,1.66779,0.63673,0.09758,0.1096,0.06386,1.50836,3.17612,1.86333,0.00020411,0.00020411,0.00020411
5,121.901,1.34808,3.32437,1.66296,0.56257,0.13833,0.13493,0.07562,1.52239,2.94032,1.93313,0.000199814,0.000199814,0.000199814
6,145.395,1.29705,3.11056,1.63552,0.49942,0.15833,0.14187,0.08442,1.47469,2.79387,1.83695,0.000195517,0.000195517,0.000195517
7,168.929,1.27417,2.93818,1.5923,0.43069,0.19674,0.17763,0.09929,1.54079,2.67594,1.91872,0.00019122,0.00019122,0.00019122
8,192.53,1.22978,2.74289,1.56774,0.48578,0.19673,0.19167,0.109,1.48624,2.73932,1.92496,0.000186924,0.000186924,0.000186924
9,216.068,1.22601,2.67338,1.56242,0.53324,0.21655,0.21557,0.12776,1.47955,2.49687,1.85044,0.000182627,0.000182627,0.000182627
10,239.513,1.21246,2.54151,1.54688,0.51341,0.2122,0.21452,0.13499,1.4785,2.6385,1.87925,0.000178331,0.000178331,0.000178331
11,262.99,1.20895,2.4655,1.53551,0.58443,0.20035,0.23549,0.13372,1.50646,2.46629,1.85494,0.000174034,0.000174034,0.000174034
12,286.462,1.16422,2.3292,1.49289,0.49782,0.23697,0.2436,0.14476,1.51534,2.30283,1.84925,0.000169737,0.000169737,0.000169737
13,310.071,1.15971,2.24775,1.48301,0.53864,0.21952,0.23146,0.13722,1.49323,2.4555,1.87186,0.000165441,0.000165441,0.000165441
14,333.589,1.13933,2.22355,1.48729,0.4592,0.25833,0.25223,0.15109,1.46723,2.34822,1.81251,0.000161144,0.000161144,0.000161144
15,357.006,1.1405,2.10893,1.47008,0.47869,0.25614,0.25022,0.14568,1.49072,2.455,1.85994,0.000156848,0.000156848,0.000156848
16,380.637,1.11159,2.06111,1.44074,0.44661,0.27236,0.2632,0.15887,1.44035,2.34786,1.80137,0.000152551,0.000152551,0.000152551
17,404.139,1.09872,2.00021,1.44337,0.48328,0.26287,0.28007,0.16852,1.47138,2.27821,1.85426,0.000148254,0.000148254,0.000148254
18,427.593,1.08892,1.9813,1.43167,0.50123,0.26356,0.28715,0.16712,1.47448,2.3119,1.84596,0.000143958,0.000143958,0.000143958
19,451.136,1.07966,1.92671,1.42545,0.54806,0.23993,0.27079,0.16552,1.48248,2.2848,1.82739,0.000139661,0.000139661,0.000139661
20,474.591,1.06424,1.88728,1.4036,0.48238,0.25975,0.27488,0.15306,1.50804,2.34786,1.89807,0.000135365,0.000135365,0.000135365
21,498.017,1.04268,1.87336,1.3891,0.50595,0.26612,0.27667,0.16236,1.46048,2.24559,1.84335,0.000131068,0.000131068,0.000131068
22,521.438,1.03406,1.82552,1.39493,0.49339,0.25763,0.27091,0.16402,1.45011,2.31491,1.82409,0.000126771,0.000126771,0.000126771
23,545.055,1.00267,1.73389,1.3533,0.46375,0.29028,0.26074,0.15407,1.46953,2.31032,1.85336,0.000122475,0.000122475,0.000122475
24,568.562,1.01087,1.76427,1.35999,0.5293,0.26002,0.27549,0.15974,1.47336,2.20714,1.86393,0.000118178,0.000118178,0.000118178
25,591.912,1.00645,1.70574,1.37256,0.51096,0.29065,0.28348,0.16644,1.4896,2.27676,1.84957,0.000113882,0.000113882,0.000113882
26,615.284,1.00384,1.6847,1.35393,0.51995,0.25537,0.27679,0.16245,1.47555,2.29084,1.86148,0.000109585,0.000109585,0.000109585
27,638.898,0.98228,1.6576,1.33481,0.49578,0.27833,0.27873,0.17089,1.46368,2.20541,1.8375,0.000105288,0.000105288,0.000105288
28,662.397,0.96691,1.58612,1.32529,0.50271,0.28301,0.29315,0.17751,1.46106,2.23637,1.84124,0.000100992,0.000100992,0.000100992
29,685.813,0.97575,1.63287,1.33931,0.54009,0.28398,0.29235,0.17831,1.47305,2.2292,1.85396,9.66952e-05,9.66952e-05,9.66952e-05
30,709.235,0.95275,1.58648,1.31632,0.54836,0.24871,0.28631,0.17512,1.46217,2.24335,1.84555,9.23986e-05,9.23986e-05,9.23986e-05
31,732.621,0.94268,1.51956,1.30247,0.51051,0.303,0.31498,0.19369,1.46151,2.15849,1.84688,8.8102e-05,8.8102e-05,8.8102e-05
32,756.038,0.9532,1.56583,1.323,0.50668,0.29388,0.29977,0.17702,1.51502,2.18949,1.86772,8.38054e-05,8.38054e-05,8.38054e-05
33,779.476,0.91974,1.48851,1.28458,0.61265,0.24995,0.31515,0.19231,1.45931,2.1586,1.84454,7.95088e-05,7.95088e-05,7.95088e-05
34,802.775,0.9126,1.46162,1.28991,0.52266,0.28311,0.30097,0.1832,1.48357,2.19395,1.83505,7.52122e-05,7.52122e-05,7.52122e-05
35,826.191,0.92136,1.44659,1.27834,0.49287,0.27792,0.28826,0.17501,1.4799,2.23893,1.86154,7.09156e-05,7.09156e-05,7.09156e-05
36,849.723,0.91327,1.46148,1.28418,0.53446,0.26925,0.29564,0.17436,1.49505,2.17128,1.87506,6.6619e-05,6.6619e-05,6.6619e-05
37,873.226,0.90847,1.45128,1.28028,0.51597,0.29583,0.2965,0.17874,1.48464,2.16103,1.85897,6.23224e-05,6.23224e-05,6.23224e-05
38,896.731,0.90323,1.41298,1.26896,0.5652,0.25966,0.30071,0.17999,1.46518,2.16798,1.84014,5.80258e-05,5.80258e-05,5.80258e-05
39,920.184,0.89788,1.41046,1.27502,0.54245,0.27512,0.2976,0.18168,1.48202,2.22635,1.86642,5.37292e-05,5.37292e-05,5.37292e-05
40,943.584,0.88964,1.37132,1.26899,0.54888,0.26896,0.30174,0.18649,1.45112,2.15866,1.8349,4.94326e-05,4.94326e-05,4.94326e-05
41,988.774,0.84683,1.47167,1.28574,0.46407,0.27875,0.27414,0.16658,1.46956,2.20449,1.84318,4.5136e-05,4.5136e-05,4.5136e-05
42,1012.16,0.78463,1.33809,1.23706,0.49879,0.27372,0.29156,0.1756,1.48758,2.16017,1.86727,4.08394e-05,4.08394e-05,4.08394e-05
43,1035.45,0.76384,1.30294,1.22146,0.53995,0.27155,0.30254,0.18306,1.48688,2.11022,1.86234,3.65428e-05,3.65428e-05,3.65428e-05
44,1058.62,0.75304,1.27031,1.21971,0.52988,0.285,0.31077,0.18754,1.48802,2.11062,1.86026,3.22462e-05,3.22462e-05,3.22462e-05
45,1081.91,0.75133,1.25619,1.21856,0.49346,0.31061,0.30923,0.18795,1.49114,2.09661,1.86323,2.79496e-05,2.79496e-05,2.79496e-05
46,1105.24,0.74206,1.23344,1.20464,0.51354,0.30126,0.30385,0.18122,1.48591,2.11604,1.86291,2.3653e-05,2.3653e-05,2.3653e-05
47,1128.54,0.72917,1.23424,1.20204,0.48595,0.30634,0.30244,0.18183,1.49607,2.1479,1.87685,1.93564e-05,1.93564e-05,1.93564e-05
48,1151.96,0.72085,1.20843,1.19621,0.49925,0.29066,0.29744,0.18518,1.50288,2.1546,1.88496,1.50598e-05,1.50598e-05,1.50598e-05
49,1175.5,0.716,1.21666,1.19555,0.52435,0.28387,0.30182,0.18327,1.50267,2.13673,1.88488,1.07632e-05,1.07632e-05,1.07632e-05
50,1198.85,0.71536,1.17845,1.18232,0.4704,0.32593,0.30466,0.18563,1.50691,2.13335,1.88354,6.4666e-06,6.4666e-06,6.4666e-06
